City,Country,Latitude,Longitude,DateTime,CurrentTemp,MaxTemp,WindSpeed,Cloudiness,Humidity
Fernandez,PH,11.38,122.76,1552700743,29.71,29.71,5.27,0,62
Permet,AL,40.23,20.35,1552700745,-3.75,-3.75,0.52,0,91
Moncton,CA,46.1,-64.8,1552700404,6.56,7,5.1,90,100
Kahului,US,20.89,-156.47,1552700497,23.77,28,7.7,40,58
Pahrump,US,36.21,-115.98,1552700550,12.27,16.11,1.34,8,20
Tombouctou,ML,16.77,-3.01,1552700749,17.26,17.26,1.72,0,33
Port Lincoln,AU,-34.72,135.86,1552700750,23.16,23.16,5.22,0,73
Namie,JP,37.52,140.86,1552700443,9.1,15.56,4.1,75,89
Blythe,US,33.61,-114.59,1552700749,19.21,22,5.7,1,17
Fort Frances,CA,48.61,-93.4,1552700704,-4.11,-3.89,5.1,90,68
Jabbeke,BE,51.18,3.09,1552700747,9.76,10.56,8.2,75,93
Ginir,ET,7.14,40.71,1552700756,12.11,12.11,1.02,0,78
Zheleznodorozhnyy,RU,55.75,38,1552700427,-2.27,-1.67,5,90,92
Kotka,FI,60.47,26.95,1552700718,0.7,1,5.7,90,95
Kachiry,KZ,53.07,76.1,1552700760,-6.5,-6.5,5.12,8,86
Pantai Remis,MY,4.46,100.63,1552698000,26.58,27,1.5,75,88
Sulangan,PH,11.14,123.72,1552700762,26.61,26.61,5.52,0,100
Vostok,RU,46.45,135.83,1552700763,-0.7,-0.7,1.32,64,57
Tuatapere,NZ,-46.13,167.69,1552700405,16.11,16.11,5.81,0,73
Mantenopolis,BR,-18.86,-41.12,1552700766,23.26,23.26,1.12,48,89
Lisakovsk,KZ,52.55,62.49,1552700767,-11.8,-11.8,3.67,0,77
Izumo,JP,35.37,132.75,1552698000,6,6,2.6,75,87
Saint-Augustin,FR,44.83,-0.61,1552700737,10.4,11,2.32,90,87
Alcudia,ES,39.85,3.12,1552700716,10.9,13.89,1,0,100
Sakharovo,RU,56.9,36.05,1552700772,-2.05,-2.05,6.12,88,93
Santa Luzia,BR,-19.77,-43.85,1552698000,22,22,5.1,20,78
Todos Santos,MX,23.45,-110.23,1552700728,19.4,20.56,1,75,77
Conroe,US,30.31,-95.46,1552700589,14.16,15.56,4.1,90,35
Acoyapa,NI,11.97,-85.17,1552700777,25.31,25.31,5.32,12,71
miranorte,br,,,,,,,,
Poronaysk,RU,49.22,143.1,1552700779,-0.6,-0.6,1.42,64,85
Husavik,CA,50.56,-96.99,1552700745,-7.63,-6.11,2.92,0,70
Fukue,JP,35.03,136.69,1552700672,11.43,13.89,7.2,75,66
Gatesville,US,31.44,-97.74,1552700779,10.75,12,3.57,1,40
Cookeville,US,36.16,-85.5,1552700779,6.11,7.22,2.6,75,56
Mehamn,NO,71.03,27.85,1552700762,-1.9,-1.9,1.87,88,91
Manta,RO,45.1,24.1,1552700708,3.89,3.89,0.45,8,74
Mabay,CU,20.35,-76.78,1552697400,24,24,3.1,0,78
Alofi,NU,-19.06,-169.92,1552698000,26,26,2.6,75,88
Sorland,NO,67.67,12.69,1552700790,2.51,2.51,8.27,76,100
Beyneu,KZ,45.32,55.19,1552700781,3.56,3.56,8.32,80,51
Toamasina,MG,-18.17,49.38,1552698000,23,23,1.17,40,100
Behshahr,IR,36.69,53.54,1552700794,4.36,4.36,0.22,0,94
Sistranda,NO,63.73,8.83,1552700762,-0.63,1.67,1.5,0,86
Dondo,MZ,-19.62,34.74,1552700796,26.41,26.41,7.12,92,89
San Patricio,PY,-26.98,-56.83,1552700798,22.71,22.71,2.12,100,89
Sao Filipe,CV,14.9,-24.5,1552700734,21.66,21.66,5.37,0,96
Tandil,AR,-37.33,-59.14,1552700722,18.61,18.89,2.24,92,92
Lamlash,GB,55.53,-5.13,1552700722,4.7,6,5.1,40,81
Palana,RU,59.08,159.95,1552700802,-12.45,-12.45,1.52,0,60
Karatau,KZ,43.18,70.46,1552700548,8.89,8.89,0.89,48,100
Amga,RU,60.89,131.98,1552700805,-11.5,-11.5,1.67,20,55
Feuchtwangen,DE,49.17,10.33,1552700800,9.49,11.11,13.9,90,93
Broceni,LV,56.7,22.53,1552700807,1.91,1.91,2.42,92,96
Sinjai,ID,-5.12,120.25,1552700769,25.31,25.31,0.77,44,99
Sheridan,US,39.65,-105.03,1552700743,2.3,5,4.1,20,51
Iquitos,PE,-3.75,-73.25,1552698000,25,25,1.5,40,94
Makakilo City,US,21.35,-158.09,1552700766,25.97,27,5.1,1,57
Goba,ET,7.01,39.97,1552700813,6.76,6.76,1.07,0,80
mys shmidta,ru,,,,,,,,
Timmins,CA,48.48,-81.33,1552698000,-9,-9,4.6,90,92
Locri,IT,38.24,16.26,1552700711,12.58,13.33,1.07,0,82
Hamilton,CA,43.26,-79.87,1552700783,2.71,3.89,7.7,90,93
Puri,ID,-7.54,112.45,1552700819,28.66,28.66,2.52,20,81
Natal,BR,-5.81,-35.21,1552698000,25.49,26,2.6,40,88
Bilma,NE,18.69,12.92,1552700725,16.81,16.81,5.67,0,16
Mogadishu,SO,2.04,45.34,1552700823,27.66,27.66,7.47,0,98
Miri,NG,10.31,9.75,1552700824,18.66,18.66,2.67,8,37
Phan Thiet,VN,10.93,108.1,1552700825,29.61,29.61,5.12,0,76
Roma,IT,41.89,12.48,1552700223,10,13.89,3.1,75,87
Birin,SY,35.01,36.67,1552700828,7.26,7.26,1.52,76,93
Palmeiras De Goias,BR,-16.8,-49.93,1552700829,23.11,23.11,2.62,36,82
Jumla,NP,29.28,82.18,1552700830,-4.1,-4.1,0.97,0,74
Veere,NL,51.55,3.67,1552700826,9.01,10,7.2,92,87
Boyolangu,ID,-8.09,111.9,1552700832,28.66,28.66,2.52,20,81
tasbuget,kz,,,,,,,,
Azare,NG,11.67,10.19,1552700835,23.46,23.46,5.27,0,24
Tarko-Sale,RU,64.92,77.78,1552700615,-18.89,-18.89,1.79,68,84
Bow Island,CA,49.87,-111.38,1552700744,1.92,3.89,2.6,75,74
Vitim,RU,59.44,112.57,1552700838,-1.5,-1.5,3.32,80,81
Marquette,US,46.54,-87.4,1552700820,-4.2,-3,6.7,90,79
Kutum,SD,14.2,24.66,1552700841,15.96,15.96,4.47,44,22
Mangla,IN,32.54,76.11,1552700842,6.76,6.76,1.07,0,48
Rio Gallegos,AR,-51.62,-69.22,1552698000,13,13,2.6,75,87
straldza,bg,,,,,,,,
temaraia,ki,,,,,,,,
At-Bashi,KG,41.17,75.81,1552700847,-10.85,-10.85,1.22,0,68
Adoni,IN,15.63,77.27,1552700639,27.36,27.36,4.32,0,31
Ibimirim,BR,-8.54,-37.69,1552700849,22.56,22.56,2.77,8,84
Sungaipenuh,ID,-2.08,101.38,1552700705,24.01,24.01,0.97,12,74
Jinchang,CN,38.52,102.19,1552700851,0.86,0.86,2.27,0,89
Brae,GB,60.4,-1.35,1552697400,5.58,6,6.2,88,75
Caraguatatuba,BR,-23.62,-45.41,1552698000,22.5,23,2.6,40,94
Teguldet,RU,57.31,88.17,1552700855,1.66,1.66,3.12,68,85
Vanimo,PG,-2.67,141.3,1552700856,28.16,28.16,6.27,12,98
Ketchikan,US,55.34,-131.65,1552697760,7,7,8.2,90,70
Batagay-Alyta,RU,67.8,130.41,1552700858,-20.05,-20.05,1.82,0,71
Oistins,BB,13.07,-59.53,1552698000,26,26,6.2,20,78
Vysha,RU,53.85,42.38,1552700861,-3.1,-3.1,4.47,88,88
Jamtara,IN,23.95,86.82,1552700012,28.33,28.33,2.07,0,55
Majene,ID,-3.54,118.97,1552700849,28.51,28.51,10.32,32,93
Daru,SL,7.99,-10.85,1552700834,25.61,25.61,3.32,24,72
satitoa,ws,,,,,,,,
Caravelas,BR,-17.73,-39.27,1552700866,28.66,28.66,6.57,32,100
Mogadouro,PT,41.34,-6.71,1552700868,-0.85,-0.85,1.37,8,71
La Ronge,CA,55.1,-105.3,1552698000,1,1,2.6,75,55
wahran,dz,,,,,,,,
Parabel,RU,58.71,81.5,1552700871,-2.75,-2.75,3.52,20,83
Sibolga,ID,1.74,98.78,1552700872,25.66,25.66,1.07,8,86
Morro Bay,US,35.37,-120.85,1552700646,17.41,19,6.7,1,34
Bemidji,US,47.48,-94.89,1552700757,-6.57,-5,4.1,1,73
Saumur,FR,47.26,-0.08,1552700713,9.44,10,4.6,90,93
Tazovskiy,RU,67.47,78.7,1552700877,-14.8,-14.8,2.92,48,84
ayer itam,my,,,,,,,,
Bowen,AU,-20.01,148.25,1552700844,30.82,31.67,3.1,8,66
Nakhon Si Thammarat,TH,8.43,99.96,1552698000,26,26,1,20,88
a,no,,,,,,,,
Rocha,UY,-34.48,-54.34,1552700733,20.16,20.16,4.17,92,87
Prainha,BR,-1.8,-53.48,1552700884,25.51,25.51,1.27,48,91
Petropavlovka,RU,50.61,105.32,1552700885,8.01,8.01,1.77,0,38
Moerai,PF,-22.43,-151.33,1552700886,26.11,26.11,9.87,56,100
Belmonte,PT,40.36,-7.35,1552699873,1.67,1.67,0.97,8,87
Tilichiki,RU,60.47,166.1,1552700872,-15,-15,2.37,0,75
Ewa Beach,US,21.32,-158.01,1552700766,25.97,27,5.1,1,57
Makasar,ID,-6.28,106.88,1552700842,27.33,30,3.1,20,78
Gusau,NG,12.17,6.66,1552700892,22.76,22.76,5.12,8,26
Abha,SA,18.22,42.5,1552698000,14.52,15,4.6,0,87
palabuhanratu,id,,,,,,,,
Colac,AU,-38.34,143.59,1552700781,21.58,22.22,0.45,8,58
Fuerte Olimpo,BR,-21.04,-57.87,1552700897,24.46,24.46,2.72,8,91
Upata,VE,8.02,-62.41,1552700898,24.66,24.66,3.42,68,76
envira,br,,,,,,,,
Kasimov,RU,54.94,41.4,1552700901,-3.55,-3.55,6.57,92,91
Torata,PE,-17.08,-70.84,1552700902,4.31,4.31,0.62,0,84
Hasaki,JP,35.73,140.83,1552700075,10.43,11.11,4.6,75,71
louisbourg,ca,,,,,,,,
Oeiras Do Para,BR,-2,-49.85,1552700905,24.76,24.76,2.82,64,97
rungata,ki,,,,,,,,
Cabo Rojo,PR,18.09,-67.15,1552700854,22.24,24,3.6,90,78
Merauke,ID,-8.49,140.4,1552700909,28.36,28.36,6.17,68,97
marcona,pe,,,,,,,,
grand centre,ca,,,,,,,,
Banaue,PH,16.91,121.06,1552700912,19.61,19.61,1.12,92,98
Matamoros,US,25.87,-97.51,1552700820,15,16,3.1,90,58
Zhuhai,CN,40.71,112.04,1552698000,5,5,2,0,25
Zhezkazgan,KZ,47.8,67.71,1552698000,-12,-12,5,90,92
Culasi,PH,11.43,122.06,1552700917,27.46,27.46,5.02,0,85
Taltal,CL,-25.41,-70.49,1552700918,13.36,13.36,0.72,0,89
Sur,OM,22.57,59.53,1552700920,19.96,19.96,4.12,0,100
Vanderhoof,CA,54.02,-124.02,1552700921,-0.75,-0.75,1.22,12,71
Goroka,PG,-6.07,145.39,1552700922,17.86,17.86,1.07,88,86
Berwick,US,41.06,-76.25,1552700885,13.17,16,4.6,1,59
malwan,in,,,,,,,,
ngukurr,au,,,,,,,,
Arivonimamo,MG,-19.01,47.18,1552699800,18,18,2.6,75,93
Anadyr,RU,64.73,177.51,1552700587,-17.11,-17,1,75,77
Najran,SA,17.54,44.22,1552698000,22,22,2.12,5,37
Sabha,LY,27.03,14.43,1552700646,5.16,5.16,2.02,0,55
Ilovlya,RU,49.31,43.98,1552698000,0.7,1,6,0,69
Taybad,IR,34.74,60.78,1552700932,11.56,11.56,4.07,20,51
Anchorage,US,61.22,-149.89,1552700887,2.56,4,2.1,40,55
Evensk,RU,61.92,159.24,1552700935,-13.35,-13.35,1.42,44,100
Noumea,NC,-22.28,166.46,1552698000,30,30,4.6,40,66
Port Moresby,PG,-9.47,147.16,1552698000,28,28,9.8,75,78
Munteni,MD,46.71,28.77,1552700791,2.41,2.78,3.1,0,80
Likasi,CD,-10.99,26.74,1552700940,18.36,18.36,1.12,56,100
Camacha,PT,33.08,-16.33,1552698000,15,15,2.1,40,77
Umm Kaddadah,SD,13.6,26.69,1552700942,17.01,17.01,5.72,8,20
urumqi,cn,,,,,,,,
Tartagal,AR,-22.52,-63.8,1552700944,21.26,21.26,1.67,64,98
Riberalta,BO,-11,-66.08,1552700945,24.91,24.91,0.87,64,93
Mazagao,BR,-0.12,-51.29,1552698000,27,27,4.1,75,94
Shenzhen,CN,22.54,114.05,1552700692,21.41,23.89,2,75,72
Itoman,JP,26.12,127.67,1552700587,19.28,20,6.7,75,37
Viransehir,TR,37.24,39.76,1552700950,7.01,7.01,2.52,88,98
Fairbanks,US,64.84,-147.72,1552700707,5.11,6,2.6,75,28
Portland,US,45.52,-122.67,1552700695,14.18,17,2.6,75,31
George,NG,6.63,3.35,1552698000,28,28,1,20,94
San Quintin,PH,17.54,120.52,1552700955,29.81,29.81,1.62,0,55
Jizan,SA,16.89,42.56,1552698000,26,26,2.72,0,74
borama,so,,,,,,,,
Maniitsoq,GL,65.42,-52.9,1552700959,-17.1,-17.1,2.32,36,89
Mishelevka,RU,52.86,103.17,1552700960,5.51,5.51,1.57,0,79
maridi,sd,,,,,,,,
Geghamasar,AM,40.31,45.68,1552700962,-3.7,-3.7,1.62,48,84
Vardo,US,39.62,-77.74,1552699500,16.08,19,8.7,1,33
Astoria,US,46.19,-123.83,1552700815,11.29,14,3.6,1,58
warqla,dz,,,,,,,,
Bintulu,MY,3.17,113.03,1552698000,26,26,2.1,75,88
Maues,BR,-3.38,-57.72,1552700968,26.86,26.86,1.67,48,83
astipalaia,gr,,,,,,,,
Atar,MR,20.52,-13.05,1552700857,15.11,15.11,3.27,0,30
Mahendragarh,IN,28.27,76.15,1552700972,16.36,16.36,4.12,0,71
Motril,ES,36.75,-3.52,1552700714,10.32,14.44,2.22,0,99
Santa Rosa,AR,-36.62,-64.29,1552700763,16.26,16.26,3.87,92,96
Great Yarmouth,GB,52.61,1.73,1552700959,7.98,8.89,2.6,92,81
Miedzyrzec Podlaski,PL,51.99,22.78,1552700976,3.76,3.76,10.87,88,93
High Level,CA,58.52,-117.13,1552698000,6,6,3.1,20,33
vaitupu,wf,,,,,,,,
Bandarbeyla,SO,9.49,50.81,1552700833,25.06,25.06,2.12,92,100
Custoias,PT,41.11,-7.32,1552700981,-0.4,-0.4,1.52,12,70
Obihiro,JP,42.92,143.2,1552698000,-1,-1,3.6,75,92
Coari,BR,-4.09,-63.14,1552700692,26.01,26.01,0.57,8,91
Kerema,PG,-7.96,145.78,1552700984,24.31,24.31,1.97,88,94
Matara,PE,-13.74,-72.9,1552700801,8.86,8.86,0.97,44,70
Kuytun,RU,54.34,101.51,1552700987,3.01,3.01,1.42,0,76
sorvag,fo,,,,,,,,
Port Blair,IN,11.67,92.75,1552700855,28.46,28.46,2.42,0,97
Vacha,RU,55.8,42.77,1552700990,-4.7,-4.7,5.22,92,89
Branford,US,41.28,-72.82,1552700784,11.43,12.78,2.6,90,93
Aljezur,PT,37.31,-8.8,1552700827,12.61,17.22,0.89,0,79
Hualmay,PE,-11.1,-77.61,1552700993,20.16,20.16,2.07,12,91
Mazabuka,ZM,-15.86,27.75,1552700995,21.06,21.06,3.92,20,77
Itarema,BR,-2.92,-39.92,1552700996,23.91,23.91,1.22,68,95
Erzin,TR,36.95,36.2,1552700942,10.74,11.67,1.5,75,93
bolungarvik,is,,,,,,,,
Bahir Dar,ET,11.59,37.39,1552700999,12.76,12.76,1.12,0,70
galgani,sd,,,,,,,,
Kushima,JP,31.5,131.29,1552700585,10.63,12,7.7,20,34
Surgut,RU,61.25,73.4,1552698000,-4,-4,2,75,100
Mehriz,IR,31.58,54.44,1552698000,8,8,1.12,0,70
Lowicz,PL,52.11,19.95,1552700946,4.89,6.11,10.3,40,75
Eirunepe,BR,-6.66,-69.87,1552700873,24.36,24.36,0.32,48,95
Abay,KZ,49.63,72.87,1552698000,-7,-7,5,90,92
Kipini,KE,-2.53,40.53,1552701009,27.21,27.21,3.57,48,86
Sysert,RU,56.5,60.81,1552698000,-9,-9,6,0,66
Sobolevo,RU,54.43,31.9,1552701011,-0.3,-0.3,8.47,92,91
Kattivakkam,IN,13.22,80.32,1552700031,25.1,26.11,1.5,20,88
Sola,NO,58.89,5.65,1552701003,4.44,5.56,2.6,75,86
Mezen,RU,65.85,44.24,1552701015,-2.55,-2.55,3.12,88,88
Lazaro Cardenas,MX,28.39,-105.62,1552701008,15.17,16,6.2,5,31
Amazar,RU,53.86,120.88,1552701017,0.16,0.16,1.52,8,45
Dunedin,NZ,-45.87,170.5,1552700500,18.33,18.33,4.47,20,69
turtkul,uz,,,,,,,,
Aden,YE,12.79,45.03,1552701021,25.66,25.66,6.82,92,99
Utiel,ES,39.57,-1.21,1552701020,9.69,12.78,1.5,0,75
Saint-Andre-Avellin,CA,45.72,-75.07,1552701009,3.48,4,1.5,90,100
bairiki,ki,,,,,,,,
Laguna,MX,27.52,-110.01,1552696920,21,21,3.6,5,40
Ilinskiy,RU,55.62,38.12,1552700427,-2.26,-1.67,5,90,92
Viedma,AR,-40.81,-62.99,1552701028,17.41,17.41,5.87,92,95
Kizukuri,JP,40.81,140.39,1552701008,4.52,6.67,5.1,75,59
Vilyuysk,RU,63.75,121.63,1552701030,-12,-12,1.72,32,59
Mikhaylovka,RU,52.96,103.29,1552701032,5.51,5.51,1.57,0,79
Alice Springs,AU,-23.7,133.88,1552698000,32,32,4.6,12,21
Ahuimanu,US,21.44,-157.84,1552701025,25.97,27,3.1,20,69
Galveston,US,40.58,-86.19,1552701015,0.91,2,4.6,1,81
Solnechnyy,RU,50.72,136.64,1552701037,0.01,0.01,1.47,0,67
Cap Malheureux,MU,-19.98,57.61,1552700943,23.07,24.44,2.1,20,94
formoso do araguaia,br,,,,,,,,
Nishihara,JP,35.74,139.53,1552701003,11.41,15,4.6,75,93
